Time,Amp
56.35,-1726.532
56.4,-1553.283
56.45,-1264.174
56.5,-885.1927
56.55,-444.4913
56.6,21.11469
56.65,475.3512
56.7,879.7787
56.75,1198.665
56.8,1404.397
56.85,1476.404
56.9,1402.232
56.95,1181.34
57,825.6385
57.05,355.7013
57.1,-199.236
57.15,-801.8168
57.2,-1409.812
57.25,-1979.367
57.3,-2470.419
57.35,-2845.069
57.4,-3071.375
57.45,-3129.847
57.5,-3009.655
57.55,-2713.508
57.6,-2254.399
57.65,-1659.398
57.7,-958.282
57.75,-194.3634
57.8,585.2559
57.85,1336.181
57.9,2011.309
57.95,2571.661
58,2983.127
58.05,3223.509
58.1,3280.898
58.15,3155.834
58.2,2858.063
58.25,2413.03
58.3,1850.513
58.35,1208.41
58.4,532.1984
58.45,-136.4334
58.5,-753.632
58.55,-1282.041
58.6,-1690.258
58.65,-1957.711
58.7,-2070.322
58.75,-2030.259
58.8,-1844.557
58.85,-1534.334
58.9,-1125.034
58.95,-650.2241
59,-146.1786
59.05,349.2045
59.1,801.2754
59.15,1179.174
59.2,1457.455
59.25,1620.958
59.3,1658.857
59.35,1574.939
59.4,1375.703
59.45,1082.263
59.5,716.2752
59.55,306.4337
59.6,-115.3187
59.65,-521.3704
59.7,-881.9443
59.75,-1171.594
59.8,-1372.455
59.85,-1472.614
59.9,-1466.659
59.95,-1358.92
60,-1158.059
60.05,-879.2373
60.1,-545.7335
60.15,-179.7456
60.2,192.7392
60.25,547.3577
60.3,860.8296
60.35,1112.582
60.4,1290.162
60.45,1382.741
60.5,1388.156
60.55,1307.487
60.6,1150.48
60.65,927.9635
60.7,655.6382
60.75,353.5357
60.8,38.43956
60.85,-269.0769
60.9,-554.3959
60.95,-802.8996
61,-1002.136
61.05,-1146.149
61.1,-1230.607
61.15,-1255.512
61.2,-1226.276
61.25,-1147.231
61.3,-1027.04
61.35,-874.9061
61.4,-698.9504
61.45,-510.5423
61.5,-315.0961
61.55,-119.1085
61.6,69.29949
61.65,251.2107
61.7,421.7523
61.75,582.0074
61.8,731.4344
61.85,869.4921
61.9,996.7216
61.95,1111.499
62,1212.741
62.05,1298.283
62.1,1364.334
62.15,1404.397
62.2,1415.767
62.25,1394.111
62.3,1334.557
62.35,1233.856
62.4,1092.55
62.45,912.2629
62.5,694.6191
62.55,449.3639
62.6,182.4526
62.65,-93.12119
62.7,-367.0707
62.75,-625.861
62.8,-857.5812
62.85,-1049.238
62.9,-1191.085
62.95,-1277.168
63,-1303.697
63.05,-1270.13
63.1,-1180.257
63.15,-1041.117
63.2,-863.5367
63.25,-661.5936
63.3,-447.7397
63.35,-239.8412
63.4,-51.43322
63.45,102.325
63.5,213.3125
63.55,271.7839
63.6,276.1151
63.65,225.7648
63.7,127.2295
63.75,-11.36945
63.8,-176.4971
63.85,-355.1599
63.9,-529.4915
63.95,-682.7083
64,-802.3582
64.05,-875.4475
64.1,-888.9825
64.15,-841.8806
64.2,-730.3517
64.25,-560.3514
64.3,-337.835
64.35,-76.87912
64.4,207.3571
64.45,499.1729
64.5,777.9951
64.55,1027.582
64.6,1232.232
64.65,1379.493
64.7,1458.538
64.75,1464.493
64.8,1399.525
64.85,1265.799
64.9,1072.518
64.95,834.8423
65,565.224
65.05,283.1534
65.1,5.414022
65.15,-251.752
65.2,-472.6442
65.25,-645.3515
65.3,-762.8358
65.35,-820.7659
65.4,-819.6831
65.45,-763.9186
65.5,-663.7592
65.55,-530.5742
65.6,-377.8988
65.65,-221.4335
65.7,-76.87912
65.75,43.31218
65.8,127.7709
65.85,165.1277
65.9,154.841
65.95,94.7454
66,-11.91085
66.05,-159.1723
66.1,-333.5038
66.15,-523.536
66.2,-714.651
66.25,-892.231
66.3,-1040.575
66.35,-1147.773
66.4,-1202.996
66.45,-1200.83
66.5,-1136.945
66.55,-1013.505
66.6,-835.3837
66.65,-611.7846
66.7,-353.5357
66.75,-76.33772
66.8,205.1915
66.85,472.1028
66.9,712.4854
66.95,910.6386
67,1054.652
67.05,1136.403
67.1,1151.563
67.15,1098.505
67.2,981.5623
67.25,807.7722
67.3,586.3386
67.35,329.714
67.4,54.14023
67.45,-224.6819
67.5,-492.1347
67.55,-733.0587
67.6,-932.8361
67.65,-1080.639
67.7,-1170.512
67.75,-1195.958
67.8,-1155.352
67.85,-1051.945
67.9,-891.1481
67.95,-679.4599
68,-429.332
68.05,-153.2168
68.1,136.9748
68.15,426.0836
68.2,702.7401
68.25,952.3266
68.3,1166.181
68.35,1335.098
68.4,1452.041
68.45,1515.926
68.5,1522.423
68.55,1475.863
68.6,1380.034
68.65,1241.977
68.7,1067.645
68.75,868.9507
68.8,652.9312
68.85,432.039
68.9,215.4781
68.95,10.82804
69,-171.0831
69.05,-327.007
69.1,-451.5295
69.15,-540.8609
69.2,-595.0011
69.25,-616.6572
69.3,-607.4534
69.35,-572.8036
69.4,-517.5806
69.45,-448.8225
69.5,-374.109
69.55,-299.9369
69.6,-233.3444
69.65,-179.2041
69.7,-142.9302
69.75,-127.2295
69.8,-133.7264
69.85,-160.2551
69.9,-206.2743
69.95,-265.8285
70,-332.9624
70.05,-401.1791
70.1,-462.8989
70.15,-507.8353
70.2,-527.8672
70.25,-516.4978
70.3,-466.6888
70.35,-373.5676
70.4,-237.1342
70.45,-55.76443
70.5,165.1277
70.55,421.211
70.6,701.116
70.65,994.0146
70.7,1286.372
70.75,1561.946
70.8,1806.118
70.85,2003.73
70.9,2140.705
70.95,2202.966
71,2185.1
71.05,2077.902
71.1,1881.373
71.15,1600.385
71.2,1240.894
71.25,815.8932
71.3,338.9178
71.35,-168.9175
71.4,-689.2051
71.45,-1195.416
71.5,-1669.143
71.55,-2087.106
71.6,-2430.896
71.65,-2684.272
71.7,-2835.324
71.75,-2878.094
71.8,-2811.502
71.85,-2637.171
71.9,-2366.469
71.95,-2010.227
72,-1586.85
72.05,-1115.83
72.1,-620.447
72.15,-121.2741
72.2,357.3255
72.25,797.4855
72.3,1180.798
72.35,1494.27
72.4,1725.449
72.45,1871.086
72.5,1929.558
72.55,1904.112
72.6,1803.952
72.65,1637.2
72.7,1419.557
72.75,1162.932
72.8,885.1927
72.85,600.4151
72.9,322.1343
72.95,63.34407
73,-167.2933
73.05,-363.2809
73.1,-521.3704
73.15,-640.4789
73.2,-723.3135
73.25,-773.1224
73.3,-798.027
73.35,-802.3582
73.4,-794.7785
73.45,-782.8677
73.5,-770.9568
73.55,-764.46
73.6,-765.0014
73.65,-774.2053
73.7,-789.9059
73.75,-809.3964
73.8,-827.2627
73.85,-838.6321
73.9,-837.0079
73.95,-815.3519
74,-770.4154
74.05,-697.8675
74.1,-591.7527
74.15,-456.9435
74.2,-293.9814
74.25,-107.1976
74.3,99.07661
74.35,313.4719
74.4,529.4915
74.45,732.5173
74.5,916.0526
74.55,1068.728
74.6,1180.257
74.65,1246.308
74.7,1261.467
74.75,1223.569
74.8,1133.155
74.85,995.0974
74.9,814.269
74.95,599.8737
75,364.9052
