Wall time,Step,Value
1645971667.9165745,1104,2.7417760065873154e-05
1645971672.6425796,1105,2.7417760065873154e-05
1645971687.0753188,1108,2.747736289165914e-05
1645971696.639547,1110,2.747736289165914e-05
1645971706.1593335,1112,2.747736289165914e-05
1645971710.8698702,1113,2.753696753643453e-05
1645971720.3683991,1115,2.753696753643453e-05
1645971743.979774,1120,2.7596568543231115e-05
1645971753.4686546,1122,2.7656173188006505e-05
1645971758.2061894,1123,2.7656173188006505e-05
1645971772.3270278,1126,2.7656173188006505e-05
1645971777.0859137,1127,2.7656173188006505e-05
1645971786.4982414,1129,2.771577419480309e-05
1645971791.306869,1130,2.771577419480309e-05
1645971805.5117543,1133,2.7715776013792492e-05
1645971814.9399364,1135,2.777537883957848e-05
1645971824.40609,1137,2.7834981665364467e-05
1645971838.5669048,1140,2.7834979846375063e-05
1645971871.7040007,1147,2.7894584491150454e-05
1645971890.6694798,1151,2.8013790142722428e-05
1645971895.3738356,1152,2.8013790142722428e-05
1645971900.1997912,1153,2.8013790142722428e-05
1645971938.0763688,1161,2.8073392968508415e-05
1645971947.5384245,1163,2.8132995794294402e-05
1645971956.98382,1165,2.8192600439069793e-05
1645971971.299114,1168,2.8192600439069793e-05
1645971999.7759335,1174,2.8252201445866376e-05
1645972004.492389,1175,2.8311806090641767e-05
1645972013.951707,1177,2.8311806090641767e-05
1645972018.6891592,1178,2.8252201445866376e-05
1645972023.4326005,1179,2.8311806090641767e-05
1645972042.3282259,1183,2.8311806090641767e-05
1645972051.8119648,1185,2.837140709743835e-05
1645972061.3265157,1187,2.837140709743835e-05
1645972075.472005,1190,2.843101174221374e-05
1645972080.1695955,1191,2.837140709743835e-05
1645972094.3723907,1194,2.8490614567999728e-05
1645972099.0519536,1195,2.8490612749010324e-05
1645972113.3589664,1198,2.8490614567999728e-05
1645972151.3323073,1206,2.8550217393785715e-05
1645972156.0333476,1207,2.8609820219571702e-05
1645972160.7861745,1208,2.8609820219571702e-05
1645972193.889072,1215,2.872902769013308e-05
1645972212.8228326,1219,2.872902769013308e-05
1645972236.5648344,1224,2.8788628696929663e-05
1645972246.03422,1226,2.8788628696929663e-05
1645972265.0632074,1230,2.884823152271565e-05
1645972279.3758624,1233,2.884823152271565e-05
1645972308.0188634,1239,2.8967437174287625e-05
1645972336.447684,1245,2.9027040000073612e-05
1645972345.918884,1247,2.9027040000073612e-05
1645972360.171943,1250,2.9086644644849002e-05
1645972364.916647,1251,2.90866428258596e-05
1645972369.6878917,1252,2.9086644644849002e-05
1645972374.441468,1253,2.90866428258596e-05
1645972383.9192293,1255,2.9146245651645586e-05
1645972393.3803217,1257,2.9146245651645586e-05
1645972398.1112995,1258,2.9205850296420977e-05
1645972412.401351,1261,2.9205850296420977e-05
1645972417.0848706,1262,2.9146245651645586e-05
1645972445.3994539,1268,2.932505594799295e-05
1645972464.449031,1272,2.932505594799295e-05
1645972488.216328,1277,2.9384656954789534e-05
1645972492.9432328,1278,2.9384656954789534e-05
1645972497.6765506,1279,2.9384656954789534e-05
1645972516.6560411,1283,2.9444261599564925e-05
1645972530.924365,1286,2.9444261599564925e-05
1645972554.6352973,1291,2.950386260636151e-05
1645972568.8977845,1294,2.95634672511369e-05
1645972592.55432,1299,2.9623068257933483e-05
1645972597.29654,1300,2.9623068257933483e-05
1645972611.547608,1303,2.9682672902708873e-05
1645972630.3442852,1307,2.9742273909505457e-05
1645972649.226361,1311,2.9742273909505457e-05
1645972673.0945609,1316,2.9801878554280847e-05
1645972696.8002467,1321,2.986147956107743e-05
1645972706.2277246,1323,2.992108420585282e-05
1645972720.4204338,1326,2.992108420585282e-05
1645972725.1105335,1327,2.992108420585282e-05
1645972734.5730457,1329,2.998068703163881e-05
1645972767.8425803,1336,3.0040289857424796e-05
1645972815.3678558,1346,3.015949550899677e-05
1645972829.5510454,1349,3.0219098334782757e-05
1645972848.4905336,1353,3.0278701160568744e-05
